
Standard & Poors 500 Index,Last: 4320.0601,Change:  -9.9399
"Date: 23 de setiembre de 2023, 00:32 GMT-4",Bid: 4311.1299,Ask: 4342.7598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Sep 25 2023,SPXW230925C04330000,13.08,-14.82,12.7,13,3447,0.1014,0.4197,0.01,149,4330.00,SPXW230925P04330000,18.5,0.55,18.4,18.7,5999,0.0984,-0.58,0.01,1647
Mon Sep 25 2023,SPXW230925C04335000,11,-13.6,10.4,10.7,3068,0.0998,0.3688,0.0098,86,4335.00,SPXW230925P04335000,20.49,1.2,20.7,21.5,8717,0.0953,-0.6309,0.0098,4198
Tue Sep 26 2023,SPXW230926C04310000,31.24,-14.51,31.1,31.6,96,0.1302,0.5854,0.0067,28,4310.00,SPXW230926P04310000,17.58,1.53,16.4,16.8,488,0.1276,-0.4143,0.0067,320
Tue Sep 26 2023,SPXW230926C04315000,28.6,-13.85,27.9,28.3,183,0.1286,0.5525,0.0069,10,4315.00,SPXW230926P04315000,19.42,1.97,18.1,18.5,2191,0.1261,-0.4472,0.0069,270
Tue Sep 26 2023,SPXW230926C04320000,24.94,-13.86,24.8,25.2,156,0.1269,0.5183,0.007,13,4320.00,SPXW230926P04320000,20.45,1.4,20,20.5,1030,0.1242,-0.4814,0.007,696
Tue Sep 26 2023,SPXW230926C04325000,22.28,-13.7,21.9,22.2,1314,0.1251,0.483,0.0071,47,4325.00,SPXW230926P04325000,22.37,2.01,22.1,22.5,2648,0.1215,-0.5167,0.0071,2738
Tue Sep 26 2023,SPXW230926C04330000,18.7,-13.7,19.1,19.6,307,0.1231,0.4468,0.0072,86,4330.00,SPXW230926P04330000,25.7,2.8,24.4,24.8,1075,0.1196,-0.5529,0.0072,1874
Tue Sep 26 2023,SPXW230926C04335000,16.81,-12.59,16.6,17.1,492,0.1213,0.4101,0.0072,85,4335.00,SPXW230926P04335000,27.95,3,26.8,29.1,454,0.1179,-0.5896,0.0072,304
Wed Sep 27 2023,SPXW230927C04310000,36.6,-13.9,36.5,37.1,77,0.1433,0.5736,0.0055,3,4310.00,SPXW230927P04310000,21.73,2.09,21.2,21.8,506,0.1405,-0.426,0.0055,640
Wed Sep 27 2023,SPXW230927C04315000,32.92,-14.08,33.3,33.9,133,0.1414,0.5467,0.0056,2,4315.00,SPXW230927P04315000,23.3,1.9,23.1,23.5,1274,0.1386,-0.453,0.0056,390
Wed Sep 27 2023,SPXW230927C04320000,30.3,-13.2,30.2,30.8,177,0.1395,0.5188,0.0057,4,4320.00,SPXW230927P04320000,25.57,2.57,24.9,25.3,686,0.1368,-0.4809,0.0057,996
Wed Sep 27 2023,SPXW230927C04325000,27.7,-12.5,27.3,27.8,261,0.1375,0.4901,0.0058,64,4325.00,SPXW230927P04325000,26.6,1.55,26.9,27.5,645,0.1348,-0.5096,0.0058,1335
Wed Sep 27 2023,SPXW230927C04330000,23.5,-13.55,24.5,24.9,192,0.1357,0.4607,0.0058,37,4330.00,SPXW230927P04330000,30.4,3,29.1,29.7,356,0.1333,-0.539,0.0058,437
Wed Sep 27 2023,SPXW230927C04335000,21.8,-12.25,21.9,22.4,201,0.1342,0.4308,0.0059,105,4335.00,SPXW230927P04335000,32.3,3.85,31.5,32.1,375,0.1315,-0.5689,0.0059,179
Thu Sep 28 2023,SPXW230928C04310000,40.61,-14.54,41.7,42.6,58,0.1516,0.5708,0.0047,38,4310.00,SPXW230928P04310000,26.03,2.73,25.1,25.6,166,0.1489,-0.4292,0.0047,908
Thu Sep 28 2023,SPXW230928C04315000,37.99,-13.71,38.5,39.3,54,0.1496,0.5476,0.0048,3,4315.00,SPXW230928P04315000,29.16,4.36,26.8,27.6,189,0.1469,-0.4523,0.0048,64
Thu Sep 28 2023,SPXW230928C04320000,33.68,-14.77,35.4,36.3,92,0.148,0.5238,0.0049,3,4320.00,SPXW230928P04320000,29.87,3.27,28.7,29.4,258,0.1453,-0.4761,0.0049,186
Thu Sep 28 2023,SPXW230928C04325000,30.47,-14.63,32.5,33,54,0.146,0.4994,0.005,29,4325.00,SPXW230928P04325000,31.87,3.32,30.7,31.6,213,0.1434,-0.5006,0.005,302
Thu Sep 28 2023,SPXW230928C04330000,29.3,-12.65,29.6,30.1,57,0.1442,0.4744,0.005,22,4330.00,SPXW230928P04330000,36.2,5.8,32.9,34.1,142,0.1418,-0.5256,0.005,353
Thu Sep 28 2023,SPXW230928C04335000,26.54,-12.41,26.9,27.4,132,0.1424,0.4489,0.005,12,4335.00,SPXW230928P04335000,36.8,4.95,35.1,36.7,116,0.1396,-0.5511,0.005,104
Fri Sep 29 2023,SPXW230929C04310000,46.3,-13.65,46.8,47.5,309,0.1606,0.5653,0.0041,131,4310.00,SPXW230929P04310000,30.4,3,29.7,30.3,762,0.1585,-0.4346,0.0041,949
Fri Sep 29 2023,SPXW230929C04315000,43.12,-12.88,43.6,44.4,357,0.1587,0.5451,0.0042,51,4315.00,SPXW230929P04315000,32,3.4,31.4,32.1,11410,0.1566,-0.4548,0.0042,11009
Fri Sep 29 2023,SPXW230929C04320000,40.87,-11.73,40.5,41.2,489,0.1567,0.5244,0.0042,115,4320.00,SPXW230929P04320000,33.9,3.55,33.3,34.1,901,0.1546,-0.4756,0.0042,1755
Fri Sep 29 2023,SPXW230929C04325000,38.31,-13.76,37.5,38.2,1062,0.1551,0.5031,0.0043,497,4325.00,SPXW230929P04325000,35.19,3.76,35.3,35.8,7025,0.1526,-0.4969,0.0043,5838
Fri Sep 29 2023,SPXW230929C04330000,34.7,-11.7,34.6,35.2,696,0.153,0.4814,0.0044,267,4330.00,SPXW230929P04330000,38.41,4,37.4,37.8,1739,0.151,-0.5186,0.0044,3030
Fri Sep 29 2023,SPXW230929C04335000,31.5,-11.9,31.9,32.5,629,0.1514,0.4592,0.0044,824,4335.00,SPXW230929P04335000,39.77,3.92,39.6,40,1242,0.149,-0.5408,0.0044,1294
